village_id,year,month,depth_m,change_from_prev_year_m,quality,data_source
RKT001,2019,1,19.4,0.0,moderate,estimated
RKT001,2019,2,19.4,0.0,moderate,estimated
RKT001,2019,3,19.4,0.0,moderate,estimated
RKT001,2019,4,21.0,0.0,moderate,estimated
RKT001,2019,5,21.0,0.0,moderate,estimated
RKT001,2019,6,21.0,0.0,moderate,estimated
RKT001,2019,7,19.4,0.0,moderate,estimated
RKT001,2019,8,19.4,0.0,moderate,estimated
RKT001,2019,9,18.0,0.0,moderate,estimated
RKT001,2019,10,18.0,0.0,moderate,estimated
RKT001,2019,11,18.0,0.0,moderate,estimated
RKT001,2019,12,19.4,0.0,moderate,estimated
RKT001,2020,1,19.75,0.35,moderate,estimated
RKT001,2020,2,19.75,0.35,moderate,estimated
RKT001,2020,3,19.75,0.35,moderate,estimated
RKT001,2020,4,21.35,0.35,moderate,estimated
RKT001,2020,5,21.35,0.35,moderate,estimated
RKT001,2020,6,21.35,0.35,moderate,estimated
RKT001,2020,7,19.75,0.35,moderate,estimated
RKT001,2020,8,19.75,0.35,moderate,estimated
RKT001,2020,9,18.35,0.35,moderate,estimated
RKT001,2020,10,18.35,0.35,moderate,estimated
RKT001,2020,11,18.35,0.35,moderate,estimated
RKT001,2020,12,19.75,0.35,moderate,estimated
RKT001,2021,1,20.1,0.35,moderate,estimated
RKT001,2021,2,20.1,0.35,moderate,estimated
RKT001,2021,3,20.1,0.35,moderate,estimated
RKT001,2021,4,21.7,0.35,moderate,estimated
RKT001,2021,5,21.7,0.35,moderate,estimated
RKT001,2021,6,21.7,0.35,moderate,estimated
RKT001,2021,7,20.1,0.35,moderate,estimated
RKT001,2021,8,20.1,0.35,moderate,estimated
RKT001,2021,9,18.7,0.35,moderate,estimated
RKT001,2021,10,18.7,0.35,moderate,estimated
RKT001,2021,11,18.7,0.35,moderate,estimated
RKT001,2021,12,20.1,0.35,moderate,estimated
RKT001,2022,1,20.45,0.35,moderate,estimated
RKT001,2022,2,20.45,0.35,moderate,estimated
RKT001,2022,3,20.45,0.35,moderate,estimated
RKT001,2022,4,22.05,0.35,moderate,estimated
RKT001,2022,5,22.05,0.35,moderate,estimated
RKT001,2022,6,22.05,0.35,moderate,estimated
RKT001,2022,7,20.45,0.35,moderate,estimated
RKT001,2022,8,20.45,0.35,moderate,estimated
RKT001,2022,9,19.05,0.35,moderate,estimated
RKT001,2022,10,19.05,0.35,moderate,estimated
RKT001,2022,11,19.05,0.35,moderate,estimated
RKT001,2022,12,20.45,0.35,moderate,estimated
RKT001,2023,1,20.8,0.35,moderate,estimated
RKT001,2023,2,20.8,0.35,moderate,estimated
RKT001,2023,3,20.8,0.35,moderate,estimated
RKT001,2023,4,22.4,0.35,moderate,estimated
RKT001,2023,5,22.4,0.35,moderate,estimated
RKT001,2023,6,22.4,0.35,moderate,estimated
RKT001,2023,7,20.8,0.35,moderate,estimated
RKT001,2023,8,20.8,0.35,moderate,estimated
RKT001,2023,9,19.4,0.35,moderate,estimated
RKT001,2023,10,19.4,0.35,moderate,estimated
RKT001,2023,11,19.4,0.35,moderate,estimated
RKT001,2023,12,20.8,0.35,moderate,estimated
RKT001,2024,1,21.15,0.35,moderate,estimated
RKT001,2024,2,21.15,0.35,moderate,estimated
RKT001,2024,3,21.15,0.35,moderate,estimated
RKT001,2024,4,22.75,0.35,moderate,estimated
RKT001,2024,5,22.75,0.35,moderate,estimated
RKT001,2024,6,22.75,0.35,moderate,estimated
RKT001,2024,7,21.15,0.35,moderate,estimated
RKT001,2024,8,21.15,0.35,moderate,estimated
RKT001,2024,9,19.75,0.35,moderate,estimated
RKT001,2024,10,19.75,0.35,moderate,estimated
RKT001,2024,11,19.75,0.35,moderate,estimated
RKT001,2024,12,21.15,0.35,moderate,estimated
RKT002,2019,1,18.0,0.0,moderate,estimated
RKT002,2019,2,18.0,0.0,moderate,estimated
RKT002,2019,3,18.0,0.0,moderate,estimated
RKT002,2019,4,19.6,0.0,moderate,estimated
RKT002,2019,5,19.6,0.0,moderate,estimated
RKT002,2019,6,19.6,0.0,moderate,estimated
RKT002,2019,7,18.0,0.0,moderate,estimated
RKT002,2019,8,18.0,0.0,moderate,estimated
RKT002,2019,9,16.6,0.0,good,estimated
RKT002,2019,10,16.6,0.0,good,estimated
RKT002,2019,11,16.6,0.0,good,estimated
RKT002,2019,12,18.0,0.0,moderate,estimated
RKT002,2020,1,18.35,0.35,moderate,estimated
RKT002,2020,2,18.35,0.35,moderate,estimated
RKT002,2020,3,18.35,0.35,moderate,estimated
RKT002,2020,4,19.95,0.35,moderate,estimated
RKT002,2020,5,19.95,0.35,moderate,estimated
RKT002,2020,6,19.95,0.35,moderate,estimated
RKT002,2020,7,18.35,0.35,moderate,estimated
RKT002,2020,8,18.35,0.35,moderate,estimated
RKT002,2020,9,16.95,0.35,good,estimated
RKT002,2020,10,16.95,0.35,good,estimated
RKT002,2020,11,16.95,0.35,good,estimated
RKT002,2020,12,18.35,0.35,moderate,estimated
RKT002,2021,1,18.7,0.35,moderate,estimated
RKT002,2021,2,18.7,0.35,moderate,estimated
RKT002,2021,3,18.7,0.35,moderate,estimated
RKT002,2021,4,20.3,0.35,moderate,estimated
RKT002,2021,5,20.3,0.35,moderate,estimated
RKT002,2021,6,20.3,0.35,moderate,estimated
RKT002,2021,7,18.7,0.35,moderate,estimated
RKT002,2021,8,18.7,0.35,moderate,estimated
RKT002,2021,9,17.3,0.35,good,estimated
RKT002,2021,10,17.3,0.35,good,estimated
RKT002,2021,11,17.3,0.35,good,estimated
RKT002,2021,12,18.7,0.35,moderate,estimated
RKT002,2022,1,19.05,0.35,moderate,estimated
RKT002,2022,2,19.05,0.35,moderate,estimated
RKT002,2022,3,19.05,0.35,moderate,estimated
RKT002,2022,4,20.65,0.35,moderate,estimated
RKT002,2022,5,20.65,0.35,moderate,estimated
RKT002,2022,6,20.65,0.35,moderate,estimated
RKT002,2022,7,19.05,0.35,moderate,estimated
RKT002,2022,8,19.05,0.35,moderate,estimated
RKT002,2022,9,17.65,0.35,good,estimated
RKT002,2022,10,17.65,0.35,good,estimated
RKT002,2022,11,17.65,0.35,good,estimated
RKT002,2022,12,19.05,0.35,moderate,estimated
RKT002,2023,1,19.4,0.35,moderate,estimated
RKT002,2023,2,19.4,0.35,moderate,estimated
RKT002,2023,3,19.4,0.35,moderate,estimated
RKT002,2023,4,21.0,0.35,moderate,estimated
RKT002,2023,5,21.0,0.35,moderate,estimated
RKT002,2023,6,21.0,0.35,moderate,estimated
RKT002,2023,7,19.4,0.35,moderate,estimated
RKT002,2023,8,19.4,0.35,moderate,estimated
RKT002,2023,9,18.0,0.35,moderate,estimated
RKT002,2023,10,18.0,0.35,moderate,estimated
RKT002,2023,11,18.0,0.35,moderate,estimated
RKT002,2023,12,19.4,0.35,moderate,estimated
RKT002,2024,1,19.75,0.35,moderate,estimated
RKT002,2024,2,19.75,0.35,moderate,estimated
RKT002,2024,3,19.75,0.35,moderate,estimated
RKT002,2024,4,21.35,0.35,moderate,estimated
RKT002,2024,5,21.35,0.35,moderate,estimated
RKT002,2024,6,21.35,0.35,moderate,estimated
RKT002,2024,7,19.75,0.35,moderate,estimated
RKT002,2024,8,19.75,0.35,moderate,estimated
RKT002,2024,9,18.35,0.35,moderate,estimated
RKT002,2024,10,18.35,0.35,moderate,estimated
RKT002,2024,11,18.35,0.35,moderate,estimated
RKT002,2024,12,19.75,0.35,moderate,estimated
RKT003,2019,1,20.7,0.0,moderate,estimated
RKT003,2019,2,20.7,0.0,moderate,estimated
RKT003,2019,3,20.7,0.0,moderate,estimated
RKT003,2019,4,22.3,0.0,moderate,estimated
RKT003,2019,5,22.3,0.0,moderate,estimated
RKT003,2019,6,22.3,0.0,moderate,estimated
RKT003,2019,7,20.7,0.0,moderate,estimated
RKT003,2019,8,20.7,0.0,moderate,estimated
RKT003,2019,9,19.3,0.0,moderate,estimated
RKT003,2019,10,19.3,0.0,moderate,estimated
RKT003,2019,11,19.3,0.0,moderate,estimated
RKT003,2019,12,20.7,0.0,moderate,estimated
RKT003,2020,1,21.05,0.35,moderate,estimated
RKT003,2020,2,21.05,0.35,moderate,estimated
RKT003,2020,3,21.05,0.35,moderate,estimated
RKT003,2020,4,22.65,0.35,moderate,estimated
RKT003,2020,5,22.65,0.35,moderate,estimated
RKT003,2020,6,22.65,0.35,moderate,estimated
RKT003,2020,7,21.05,0.35,moderate,estimated
RKT003,2020,8,21.05,0.35,moderate,estimated
RKT003,2020,9,19.65,0.35,moderate,estimated
RKT003,2020,10,19.65,0.35,moderate,estimated
RKT003,2020,11,19.65,0.35,moderate,estimated
RKT003,2020,12,21.05,0.35,moderate,estimated
RKT003,2021,1,21.4,0.35,moderate,estimated
RKT003,2021,2,21.4,0.35,moderate,estimated
RKT003,2021,3,21.4,0.35,moderate,estimated
RKT003,2021,4,23.0,0.35,moderate,estimated
RKT003,2021,5,23.0,0.35,moderate,estimated
RKT003,2021,6,23.0,0.35,moderate,estimated
RKT003,2021,7,21.4,0.35,moderate,estimated
RKT003,2021,8,21.4,0.35,moderate,estimated
RKT003,2021,9,20.0,0.35,moderate,estimated
RKT003,2021,10,20.0,0.35,moderate,estimated
RKT003,2021,11,20.0,0.35,moderate,estimated
RKT003,2021,12,21.4,0.35,moderate,estimated
RKT003,2022,1,21.75,0.35,moderate,estimated
RKT003,2022,2,21.75,0.35,moderate,estimated
RKT003,2022,3,21.75,0.35,moderate,estimated
RKT003,2022,4,23.35,0.35,moderate,estimated
RKT003,2022,5,23.35,0.35,moderate,estimated
RKT003,2022,6,23.35,0.35,moderate,estimated
RKT003,2022,7,21.75,0.35,moderate,estimated
RKT003,2022,8,21.75,0.35,moderate,estimated
RKT003,2022,9,20.35,0.35,moderate,estimated
RKT003,2022,10,20.35,0.35,moderate,estimated
RKT003,2022,11,20.35,0.35,moderate,estimated
RKT003,2022,12,21.75,0.35,moderate,estimated
RKT003,2023,1,22.1,0.35,moderate,estimated
RKT003,2023,2,22.1,0.35,moderate,estimated
RKT003,2023,3,22.1,0.35,moderate,estimated
RKT003,2023,4,23.7,0.35,moderate,estimated
RKT003,2023,5,23.7,0.35,moderate,estimated
RKT003,2023,6,23.7,0.35,moderate,estimated
RKT003,2023,7,22.1,0.35,moderate,estimated
RKT003,2023,8,22.1,0.35,moderate,estimated
RKT003,2023,9,20.7,0.35,moderate,estimated
RKT003,2023,10,20.7,0.35,moderate,estimated
RKT003,2023,11,20.7,0.35,moderate,estimated
RKT003,2023,12,22.1,0.35,moderate,estimated
RKT003,2024,1,22.45,0.35,moderate,estimated
RKT003,2024,2,22.45,0.35,moderate,estimated
RKT003,2024,3,22.45,0.35,moderate,estimated
RKT003,2024,4,24.05,0.35,moderate,estimated
RKT003,2024,5,24.05,0.35,moderate,estimated
RKT003,2024,6,24.05,0.35,moderate,estimated
RKT003,2024,7,22.45,0.35,moderate,estimated
RKT003,2024,8,22.45,0.35,moderate,estimated
RKT003,2024,9,21.05,0.35,moderate,estimated
RKT003,2024,10,21.05,0.35,moderate,estimated
RKT003,2024,11,21.05,0.35,moderate,estimated
RKT003,2024,12,22.45,0.35,moderate,estimated
RKT004,2019,1,19.1,0.0,moderate,estimated
RKT004,2019,2,19.1,0.0,moderate,estimated
RKT004,2019,3,19.1,0.0,moderate,estimated
RKT004,2019,4,20.7,0.0,moderate,estimated
RKT004,2019,5,20.7,0.0,moderate,estimated
RKT004,2019,6,20.7,0.0,moderate,estimated
RKT004,2019,7,19.1,0.0,moderate,estimated
RKT004,2019,8,19.1,0.0,moderate,estimated
RKT004,2019,9,17.7,0.0,good,estimated
RKT004,2019,10,17.7,0.0,good,estimated
RKT004,2019,11,17.7,0.0,good,estimated
RKT004,2019,12,19.1,0.0,moderate,estimated
RKT004,2020,1,19.45,0.35,moderate,estimated
RKT004,2020,2,19.45,0.35,moderate,estimated
RKT004,2020,3,19.45,0.35,moderate,estimated
RKT004,2020,4,21.05,0.35,moderate,estimated
RKT004,2020,5,21.05,0.35,moderate,estimated
RKT004,2020,6,21.05,0.35,moderate,estimated
RKT004,2020,7,19.45,0.35,moderate,estimated
RKT004,2020,8,19.45,0.35,moderate,estimated
RKT004,2020,9,18.05,0.35,moderate,estimated
RKT004,2020,10,18.05,0.35,moderate,estimated
RKT004,2020,11,18.05,0.35,moderate,estimated
RKT004,2020,12,19.45,0.35,moderate,estimated
RKT004,2021,1,19.8,0.35,moderate,estimated
RKT004,2021,2,19.8,0.35,moderate,estimated
RKT004,2021,3,19.8,0.35,moderate,estimated
RKT004,2021,4,21.4,0.35,moderate,estimated
RKT004,2021,5,21.4,0.35,moderate,estimated
RKT004,2021,6,21.4,0.35,moderate,estimated
RKT004,2021,7,19.8,0.35,moderate,estimated
RKT004,2021,8,19.8,0.35,moderate,estimated
RKT004,2021,9,18.4,0.35,moderate,estimated
RKT004,2021,10,18.4,0.35,moderate,estimated
RKT004,2021,11,18.4,0.35,moderate,estimated
RKT004,2021,12,19.8,0.35,moderate,estimated
RKT004,2022,1,20.15,0.35,moderate,estimated
RKT004,2022,2,20.15,0.35,moderate,estimated
RKT004,2022,3,20.15,0.35,moderate,estimated
RKT004,2022,4,21.75,0.35,moderate,estimated
RKT004,2022,5,21.75,0.35,moderate,estimated
RKT004,2022,6,21.75,0.35,moderate,estimated
RKT004,2022,7,20.15,0.35,moderate,estimated
RKT004,2022,8,20.15,0.35,moderate,estimated
RKT004,2022,9,18.75,0.35,moderate,estimated
RKT004,2022,10,18.75,0.35,moderate,estimated
RKT004,2022,11,18.75,0.35,moderate,estimated
RKT004,2022,12,20.15,0.35,moderate,estimated
RKT004,2023,1,20.5,0.35,moderate,estimated
RKT004,2023,2,20.5,0.35,moderate,estimated
RKT004,2023,3,20.5,0.35,moderate,estimated
RKT004,2023,4,22.1,0.35,moderate,estimated
RKT004,2023,5,22.1,0.35,moderate,estimated
RKT004,2023,6,22.1,0.35,moderate,estimated
RKT004,2023,7,20.5,0.35,moderate,estimated
RKT004,2023,8,20.5,0.35,moderate,estimated
RKT004,2023,9,19.1,0.35,moderate,estimated
RKT004,2023,10,19.1,0.35,moderate,estimated
RKT004,2023,11,19.1,0.35,moderate,estimated
RKT004,2023,12,20.5,0.35,moderate,estimated
RKT004,2024,1,20.85,0.35,moderate,estimated
RKT004,2024,2,20.85,0.35,moderate,estimated
RKT004,2024,3,20.85,0.35,moderate,estimated
RKT004,2024,4,22.45,0.35,moderate,estimated
RKT004,2024,5,22.45,0.35,moderate,estimated
RKT004,2024,6,22.45,0.35,moderate,estimated
RKT004,2024,7,20.85,0.35,moderate,estimated
RKT004,2024,8,20.85,0.35,moderate,estimated
RKT004,2024,9,19.45,0.35,moderate,estimated
RKT004,2024,10,19.45,0.35,moderate,estimated
RKT004,2024,11,19.45,0.35,moderate,estimated
RKT004,2024,12,20.85,0.35,moderate,estimated
RKT005,2019,1,15.6,0.0,good,estimated
RKT005,2019,2,15.6,0.0,good,estimated
RKT005,2019,3,15.6,0.0,good,estimated
RKT005,2019,4,17.2,0.0,good,estimated
RKT005,2019,5,17.2,0.0,good,estimated
RKT005,2019,6,17.2,0.0,good,estimated
RKT005,2019,7,15.6,0.0,good,estimated
RKT005,2019,8,15.6,0.0,good,estimated
RKT005,2019,9,14.2,0.0,good,estimated
RKT005,2019,10,14.2,0.0,good,estimated
RKT005,2019,11,14.2,0.0,good,estimated
RKT005,2019,12,15.6,0.0,good,estimated
RKT005,2020,1,15.95,0.35,good,estimated
RKT005,2020,2,15.95,0.35,good,estimated
RKT005,2020,3,15.95,0.35,good,estimated
RKT005,2020,4,17.55,0.35,good,estimated
RKT005,2020,5,17.55,0.35,good,estimated
RKT005,2020,6,17.55,0.35,good,estimated
RKT005,2020,7,15.95,0.35,good,estimated
RKT005,2020,8,15.95,0.35,good,estimated
RKT005,2020,9,14.55,0.35,good,estimated
RKT005,2020,10,14.55,0.35,good,estimated
RKT005,2020,11,14.55,0.35,good,estimated
RKT005,2020,12,15.95,0.35,good,estimated
RKT005,2021,1,16.3,0.35,good,estimated
RKT005,2021,2,16.3,0.35,good,estimated
RKT005,2021,3,16.3,0.35,good,estimated
RKT005,2021,4,17.9,0.35,good,estimated
RKT005,2021,5,17.9,0.35,good,estimated
RKT005,2021,6,17.9,0.35,good,estimated
RKT005,2021,7,16.3,0.35,good,estimated
RKT005,2021,8,16.3,0.35,good,estimated
RKT005,2021,9,14.9,0.35,good,estimated
RKT005,2021,10,14.9,0.35,good,estimated
RKT005,2021,11,14.9,0.35,good,estimated
RKT005,2021,12,16.3,0.35,good,estimated
RKT005,2022,1,16.65,0.35,good,estimated
RKT005,2022,2,16.65,0.35,good,estimated
RKT005,2022,3,16.65,0.35,good,estimated
RKT005,2022,4,18.25,0.35,moderate,estimated
RKT005,2022,5,18.25,0.35,moderate,estimated
RKT005,2022,6,18.25,0.35,moderate,estimated
RKT005,2022,7,16.65,0.35,good,estimated
RKT005,2022,8,16.65,0.35,good,estimated
RKT005,2022,9,15.25,0.35,good,estimated
RKT005,2022,10,15.25,0.35,good,estimated
RKT005,2022,11,15.25,0.35,good,estimated
RKT005,2022,12,16.65,0.35,good,estimated
RKT005,2023,1,17.0,0.35,good,estimated
RKT005,2023,2,17.0,0.35,good,estimated
RKT005,2023,3,17.0,0.35,good,estimated
RKT005,2023,4,18.6,0.35,moderate,estimated
RKT005,2023,5,18.6,0.35,moderate,estimated
RKT005,2023,6,18.6,0.35,moderate,estimated
RKT005,2023,7,17.0,0.35,good,estimated
RKT005,2023,8,17.0,0.35,good,estimated
RKT005,2023,9,15.6,0.35,good,estimated
RKT005,2023,10,15.6,0.35,good,estimated
RKT005,2023,11,15.6,0.35,good,estimated
RKT005,2023,12,17.0,0.35,good,estimated
RKT005,2024,1,17.35,0.35,good,estimated
RKT005,2024,2,17.35,0.35,good,estimated
RKT005,2024,3,17.35,0.35,good,estimated
RKT005,2024,4,18.95,0.35,moderate,estimated
RKT005,2024,5,18.95,0.35,moderate,estimated
RKT005,2024,6,18.95,0.35,moderate,estimated
RKT005,2024,7,17.35,0.35,good,estimated
RKT005,2024,8,17.35,0.35,good,estimated
RKT005,2024,9,15.95,0.35,good,estimated
RKT005,2024,10,15.95,0.35,good,estimated
RKT005,2024,11,15.95,0.35,good,estimated
RKT005,2024,12,17.35,0.35,good,estimated
RKT006,2019,1,22.3,0.0,moderate,estimated
RKT006,2019,2,22.3,0.0,moderate,estimated
RKT006,2019,3,22.3,0.0,moderate,estimated
RKT006,2019,4,23.9,0.0,moderate,estimated
RKT006,2019,5,23.9,0.0,moderate,estimated
RKT006,2019,6,23.9,0.0,moderate,estimated
RKT006,2019,7,22.3,0.0,moderate,estimated
RKT006,2019,8,22.3,0.0,moderate,estimated
RKT006,2019,9,20.9,0.0,moderate,estimated
RKT006,2019,10,20.9,0.0,moderate,estimated
RKT006,2019,11,20.9,0.0,moderate,estimated
RKT006,2019,12,22.3,0.0,moderate,estimated
RKT006,2020,1,22.65,0.35,moderate,estimated
RKT006,2020,2,22.65,0.35,moderate,estimated
RKT006,2020,3,22.65,0.35,moderate,estimated
RKT006,2020,4,24.25,0.35,moderate,estimated
RKT006,2020,5,24.25,0.35,moderate,estimated
RKT006,2020,6,24.25,0.35,moderate,estimated
RKT006,2020,7,22.65,0.35,moderate,estimated
RKT006,2020,8,22.65,0.35,moderate,estimated
RKT006,2020,9,21.25,0.35,moderate,estimated
RKT006,2020,10,21.25,0.35,moderate,estimated
RKT006,2020,11,21.25,0.35,moderate,estimated
RKT006,2020,12,22.65,0.35,moderate,estimated
RKT006,2021,1,23.0,0.35,moderate,estimated
RKT006,2021,2,23.0,0.35,moderate,estimated
RKT006,2021,3,23.0,0.35,moderate,estimated
RKT006,2021,4,24.6,0.35,moderate,estimated
RKT006,2021,5,24.6,0.35,moderate,estimated
RKT006,2021,6,24.6,0.35,moderate,estimated
RKT006,2021,7,23.0,0.35,moderate,estimated
RKT006,2021,8,23.0,0.35,moderate,estimated
RKT006,2021,9,21.6,0.35,moderate,estimated
RKT006,2021,10,21.6,0.35,moderate,estimated
RKT006,2021,11,21.6,0.35,moderate,estimated
RKT006,2021,12,23.0,0.35,moderate,estimated
RKT006,2022,1,23.35,0.35,moderate,estimated
RKT006,2022,2,23.35,0.35,moderate,estimated
RKT006,2022,3,23.35,0.35,moderate,estimated
RKT006,2022,4,24.95,0.35,moderate,estimated
RKT006,2022,5,24.95,0.35,moderate,estimated
RKT006,2022,6,24.95,0.35,moderate,estimated
RKT006,2022,7,23.35,0.35,moderate,estimated
RKT006,2022,8,23.35,0.35,moderate,estimated
RKT006,2022,9,21.95,0.35,moderate,estimated
RKT006,2022,10,21.95,0.35,moderate,estimated
RKT006,2022,11,21.95,0.35,moderate,estimated
RKT006,2022,12,23.35,0.35,moderate,estimated
RKT006,2023,1,23.7,0.35,moderate,estimated
RKT006,2023,2,23.7,0.35,moderate,estimated
RKT006,2023,3,23.7,0.35,moderate,estimated
RKT006,2023,4,25.3,0.35,saline,estimated
RKT006,2023,5,25.3,0.35,saline,estimated
RKT006,2023,6,25.3,0.35,saline,estimated
RKT006,2023,7,23.7,0.35,moderate,estimated
RKT006,2023,8,23.7,0.35,moderate,estimated
