village_id,year,month,rainfall_mm,historical_avg_mm,deficit_pct,season,data_source
RKT001,2019,1,7.3,6.5,12.3,rabi,estimated
RKT001,2019,2,7.3,6.5,12.3,rabi,estimated
RKT001,2019,3,7.3,6.5,12.3,rabi,estimated
RKT001,2019,4,14.6,13.0,12.3,summer,estimated
RKT001,2019,5,21.7,19.4,11.9,summer,estimated
RKT001,2019,6,130.6,116.6,12.0,kharif,estimated
RKT001,2019,7,254.0,226.8,12.0,kharif,estimated
RKT001,2019,8,188.7,168.5,12.0,kharif,estimated
RKT001,2019,9,79.9,71.3,12.1,kharif,estimated
RKT001,2019,10,21.7,19.4,11.9,rabi,estimated
RKT001,2019,11,7.3,6.5,12.3,rabi,estimated
RKT001,2019,12,0.0,0.0,0.0,rabi,estimated
RKT001,2020,1,6.8,6.5,4.6,rabi,estimated
RKT001,2020,2,6.8,6.5,4.6,rabi,estimated
RKT001,2020,3,6.8,6.5,4.6,rabi,estimated
RKT001,2020,4,13.7,13.0,5.4,summer,estimated
RKT001,2020,5,20.4,19.4,5.2,summer,estimated
RKT001,2020,6,122.4,116.6,5.0,kharif,estimated
RKT001,2020,7,238.1,226.8,5.0,kharif,estimated
RKT001,2020,8,176.9,168.5,5.0,kharif,estimated
RKT001,2020,9,74.9,71.3,5.0,kharif,estimated
RKT001,2020,10,20.4,19.4,5.2,rabi,estimated
RKT001,2020,11,6.8,6.5,4.6,rabi,estimated
RKT001,2020,12,0.0,0.0,0.0,rabi,estimated
RKT001,2021,1,5.7,6.5,-12.3,rabi,estimated
RKT001,2021,2,5.7,6.5,-12.3,rabi,estimated
RKT001,2021,3,5.7,6.5,-12.3,rabi,estimated
RKT001,2021,4,11.4,13.0,-12.3,summer,estimated
RKT001,2021,5,17.1,19.4,-11.9,summer,estimated
RKT001,2021,6,102.6,116.6,-12.0,kharif,estimated
RKT001,2021,7,199.6,226.8,-12.0,kharif,estimated
RKT001,2021,8,148.3,168.5,-12.0,kharif,estimated
RKT001,2021,9,62.7,71.3,-12.1,kharif,estimated
RKT001,2021,10,17.1,19.4,-11.9,rabi,estimated
RKT001,2021,11,5.7,6.5,-12.3,rabi,estimated
RKT001,2021,12,0.0,0.0,0.0,rabi,estimated
RKT001,2022,1,6.1,6.5,-6.2,rabi,estimated
RKT001,2022,2,6.1,6.5,-6.2,rabi,estimated
RKT001,2022,3,6.1,6.5,-6.2,rabi,estimated
RKT001,2022,4,12.2,13.0,-6.2,summer,estimated
RKT001,2022,5,18.2,19.4,-6.2,summer,estimated
RKT001,2022,6,109.6,116.6,-6.0,kharif,estimated
RKT001,2022,7,213.2,226.8,-6.0,kharif,estimated
RKT001,2022,8,158.4,168.5,-6.0,kharif,estimated
RKT001,2022,9,67.0,71.3,-6.0,kharif,estimated
RKT001,2022,10,18.2,19.4,-6.2,rabi,estimated
RKT001,2022,11,6.1,6.5,-6.2,rabi,estimated
RKT001,2022,12,0.0,0.0,0.0,rabi,estimated
RKT001,2023,1,5.3,6.5,-18.5,rabi,estimated
RKT001,2023,2,5.3,6.5,-18.5,rabi,estimated
RKT001,2023,3,5.3,6.5,-18.5,rabi,estimated
RKT001,2023,4,10.7,13.0,-17.7,summer,estimated
RKT001,2023,5,15.9,19.4,-18.0,summer,estimated
RKT001,2023,6,95.6,116.6,-18.0,kharif,estimated
RKT001,2023,7,186.0,226.8,-18.0,kharif,estimated
RKT001,2023,8,138.2,168.5,-18.0,kharif,estimated
RKT001,2023,9,58.5,71.3,-18.0,kharif,estimated
RKT001,2023,10,15.9,19.4,-18.0,rabi,estimated
RKT001,2023,11,5.3,6.5,-18.5,rabi,estimated
RKT001,2023,12,0.0,0.0,0.0,rabi,estimated
RKT001,2024,1,6.4,6.5,-1.5,rabi,estimated
RKT001,2024,2,6.4,6.5,-1.5,rabi,estimated
RKT001,2024,3,6.4,6.5,-1.5,rabi,estimated
RKT001,2024,4,12.7,13.0,-2.3,summer,estimated
RKT001,2024,5,19.0,19.4,-2.1,summer,estimated
RKT001,2024,6,114.3,116.6,-2.0,kharif,estimated
RKT001,2024,7,222.3,226.8,-2.0,kharif,estimated
RKT001,2024,8,165.1,168.5,-2.0,kharif,estimated
RKT001,2024,9,69.9,71.3,-2.0,kharif,estimated
RKT001,2024,10,19.0,19.4,-2.1,rabi,estimated
RKT001,2024,11,6.4,6.5,-1.5,rabi,estimated
RKT001,2024,12,0.0,0.0,0.0,rabi,estimated
RKT002,2019,1,7.3,6.5,12.3,rabi,estimated
RKT002,2019,2,7.3,6.5,12.3,rabi,estimated
RKT002,2019,3,7.3,6.5,12.3,rabi,estimated
RKT002,2019,4,14.6,13.0,12.3,summer,estimated
RKT002,2019,5,21.7,19.4,11.9,summer,estimated
RKT002,2019,6,130.6,116.6,12.0,kharif,estimated
RKT002,2019,7,254.0,226.8,12.0,kharif,estimated
RKT002,2019,8,188.7,168.5,12.0,kharif,estimated
RKT002,2019,9,79.9,71.3,12.1,kharif,estimated
RKT002,2019,10,21.7,19.4,11.9,rabi,estimated
RKT002,2019,11,7.3,6.5,12.3,rabi,estimated
RKT002,2019,12,0.0,0.0,0.0,rabi,estimated
RKT002,2020,1,6.8,6.5,4.6,rabi,estimated
RKT002,2020,2,6.8,6.5,4.6,rabi,estimated
RKT002,2020,3,6.8,6.5,4.6,rabi,estimated
RKT002,2020,4,13.7,13.0,5.4,summer,estimated
RKT002,2020,5,20.4,19.4,5.2,summer,estimated
RKT002,2020,6,122.4,116.6,5.0,kharif,estimated
RKT002,2020,7,238.1,226.8,5.0,kharif,estimated
