village_id,year,domestic_demand_mcm,agricultural_demand_mcm,industrial_demand_mcm,total_demand_mcm,available_supply_mcm,deficit_mcm,data_source
RKT001,2019,0.184,16.0,0.046,16.23,15.0,-1.23,estimated
RKT001,2020,0.188,16.32,0.047,16.55,14.86,-1.69,estimated
RKT001,2021,0.191,16.64,0.048,16.88,13.07,-3.81,estimated
RKT001,2022,0.195,16.96,0.049,17.2,13.93,-3.27,estimated
RKT001,2023,0.199,17.28,0.05,17.53,12.34,-5.19,estimated
RKT001,2024,0.202,17.6,0.051,17.85,14.92,-2.93,estimated
RKT002,2019,0.148,14.0,0.037,14.19,13.11,-1.08,estimated
RKT002,2020,0.151,14.28,0.038,14.47,12.99,-1.48,estimated
RKT002,2021,0.154,14.56,0.038,14.75,11.42,-3.33,estimated
RKT002,2022,0.157,14.84,0.039,15.04,12.18,-2.86,estimated
RKT002,2023,0.16,15.12,0.04,15.32,10.79,-4.53,estimated
RKT002,2024,0.163,15.4,0.041,15.6,13.04,-2.56,estimated
RKT003,2019,0.1,9.5,0.025,9.62,8.89,-0.73,estimated
RKT003,2020,0.102,9.69,0.026,9.82,8.81,-1.01,estimated
RKT003,2021,0.104,9.88,0.026,10.01,7.75,-2.26,estimated
RKT003,2022,0.106,10.07,0.027,10.2,8.26,-1.94,estimated
RKT003,2023,0.108,10.26,0.027,10.4,7.32,-3.08,estimated
RKT003,2024,0.11,10.45,0.028,10.59,8.85,-1.74,estimated
RKT004,2019,0.07,7.0,0.018,7.09,6.55,-0.54,estimated
RKT004,2020,0.071,7.14,0.018,7.23,6.49,-0.74,estimated
RKT004,2021,0.073,7.28,0.019,7.37,5.71,-1.66,estimated
RKT004,2022,0.074,7.42,0.019,7.51,6.08,-1.43,estimated
RKT004,2023,0.076,7.56,0.019,7.66,5.39,-2.27,estimated
RKT004,2024,0.077,7.7,0.02,7.8,6.52,-1.28,estimated
RKT005,2019,0.269,28.0,0.067,28.34,26.19,-2.15,estimated
RKT005,2020,0.274,28.56,0.068,28.9,25.94,-2.96,estimated
RKT005,2021,0.28,29.12,0.07,29.47,22.82,-6.65,estimated
RKT005,2022,0.285,29.68,0.071,30.04,24.32,-5.72,estimated
RKT005,2023,0.291,30.24,0.072,30.6,21.54,-9.06,estimated
RKT005,2024,0.296,30.8,0.074,31.17,26.06,-5.11,estimated
RKT006,2019,0.216,21.0,0.054,21.27,19.65,-1.62,estimated
RKT006,2020,0.22,21.42,0.055,21.7,19.48,-2.22,estimated
RKT006,2021,0.225,21.84,0.056,22.12,17.13,-4.99,estimated
RKT006,2022,0.229,22.26,0.057,22.55,18.26,-4.29,estimated
RKT006,2023,0.233,22.68,0.058,22.97,16.17,-6.8,estimated
RKT006,2024,0.238,23.1,0.059,23.4,19.56,-3.84,estimated
RKT007,2019,0.124,11.5,0.031,11.66,10.77,-0.89,estimated
RKT007,2020,0.126,11.73,0.032,11.89,10.67,-1.22,estimated
RKT007,2021,0.129,11.96,0.032,12.12,9.39,-2.73,estimated
RKT007,2022,0.131,12.19,0.033,12.35,10.0,-2.35,estimated
RKT007,2023,0.134,12.42,0.033,12.59,8.86,-3.73,estimated
RKT007,2024,0.136,12.65,0.034,12.82,10.72,-2.1,estimated
RKT008,2019,0.173,17.5,0.043,17.72,16.37,-1.35,estimated
RKT008,2020,0.176,17.85,0.044,18.07,16.22,-1.85,estimated
